subject_id,workflow_id,task,reducer,data.no-there-are-no-jets-in-this-image-sequence,data.aggregation_version,data.yes-there-is-at-least-one-jet-in-this-image-sequence
70439089,18563,T0,question_reducer,,3.6.0,3.0
70439090,18563,T0,question_reducer,1.0,3.6.0,3.0
70439091,18563,T0,question_reducer,2.0,3.6.0,2.0
70439092,18563,T0,question_reducer,3.0,3.6.0,
70439093,18563,T0,question_reducer,2.0,3.6.0,1.0
70439094,18563,T0,question_reducer,1.0,3.6.0,3.0
70439095,18563,T0,question_reducer,2.0,3.6.0,1.0
70439096,18563,T0,question_reducer,2.0,3.6.0,1.0
70439097,18563,T0,question_reducer,2.0,3.6.0,1.0
70439098,18563,T0,question_reducer,3.0,3.6.0,
70439099,18563,T0,question_reducer,2.0,3.6.0,1.0
70439100,18563,T0,question_reducer,2.0,3.6.0,1.0
70439101,18563,T0,question_reducer,2.0,3.6.0,1.0
70439102,18563,T0,question_reducer,1.0,3.6.0,2.0
70439103,18563,T0,question_reducer,2.0,3.6.0,1.0
70439104,18563,T0,question_reducer,3.0,3.6.0,
70439105,18563,T0,question_reducer,3.0,3.6.0,1.0
70439106,18563,T0,question_reducer,1.0,3.6.0,2.0
70439107,18563,T0,question_reducer,1.0,3.6.0,2.0
70439108,18563,T0,question_reducer,2.0,3.6.0,1.0
70439109,18563,T0,question_reducer,,3.6.0,3.0
70439110,18563,T0,question_reducer,,3.6.0,3.0
70439111,18563,T0,question_reducer,1.0,3.6.0,2.0
70439112,18563,T0,question_reducer,,3.6.0,3.0
70439113,18563,T0,question_reducer,1.0,3.6.0,2.0
70439114,18563,T0,question_reducer,,3.6.0,3.0
70439115,18563,T0,question_reducer,1.0,3.6.0,3.0
70439116,18563,T0,question_reducer,2.0,3.6.0,1.0
70439117,18563,T0,question_reducer,3.0,3.6.0,
70439118,18563,T0,question_reducer,3.0,3.6.0,
70439119,18563,T0,question_reducer,3.0,3.6.0,
70439120,18563,T0,question_reducer,3.0,3.6.0,
70439121,18563,T0,question_reducer,1.0,3.6.0,2.0
70439122,18563,T0,question_reducer,1.0,3.6.0,2.0
70439123,18563,T0,question_reducer,3.0,3.6.0,1.0
70439124,18563,T0,question_reducer,2.0,3.6.0,1.0
70439125,18563,T0,question_reducer,,3.6.0,3.0
70439126,18563,T0,question_reducer,3.0,3.6.0,
70439127,18563,T0,question_reducer,1.0,3.6.0,2.0
70439128,18563,T0,question_reducer,2.0,3.6.0,1.0
70439129,18563,T0,question_reducer,3.0,3.6.0,
70439130,18563,T0,question_reducer,3.0,3.6.0,
70439131,18563,T0,question_reducer,3.0,3.6.0,
70439132,18563,T0,question_reducer,3.0,3.6.0,
70439133,18563,T0,question_reducer,3.0,3.6.0,
70439134,18563,T0,question_reducer,1.0,3.6.0,2.0
70439135,18563,T0,question_reducer,2.0,3.6.0,1.0
70439136,18563,T0,question_reducer,2.0,3.6.0,2.0
70439137,18563,T0,question_reducer,2.0,3.6.0,1.0
70439138,18563,T0,question_reducer,3.0,3.6.0,
70439139,18563,T0,question_reducer,3.0,3.6.0,1.0
70439140,18563,T0,question_reducer,3.0,3.6.0,
70439141,18563,T0,question_reducer,2.0,3.6.0,1.0
70439142,18563,T0,question_reducer,3.0,3.6.0,
70439143,18563,T0,question_reducer,3.0,3.6.0,
70439144,18563,T0,question_reducer,2.0,3.6.0,1.0
70439145,18563,T0,question_reducer,3.0,3.6.0,
70439146,18563,T0,question_reducer,3.0,3.6.0,
70439147,18563,T0,question_reducer,3.0,3.6.0,
70439148,18563,T0,question_reducer,3.0,3.6.0,
70439149,18563,T0,question_reducer,4.0,3.6.0,
70439150,18563,T0,question_reducer,3.0,3.6.0,
70439151,18563,T0,question_reducer,,3.6.0,3.0
70439152,18563,T0,question_reducer,3.0,3.6.0,
70439153,18563,T0,question_reducer,,3.6.0,3.0
70439154,18563,T0,question_reducer,,3.6.0,3.0
70439155,18563,T0,question_reducer,,3.6.0,3.0
70439156,18563,T0,question_reducer,,3.6.0,3.0
70439157,18563,T0,question_reducer,1.0,3.6.0,2.0
70439158,18563,T0,question_reducer,,3.6.0,3.0
70439159,18563,T0,question_reducer,1.0,3.6.0,3.0
70439160,18563,T0,question_reducer,2.0,3.6.0,1.0
70439161,18563,T0,question_reducer,3.0,3.6.0,
70439162,18563,T0,question_reducer,3.0,3.6.0,
70439163,18563,T0,question_reducer,3.0,3.6.0,
70439164,18563,T0,question_reducer,3.0,3.6.0,
70439165,18563,T0,question_reducer,3.0,3.6.0,1.0
70439166,18563,T0,question_reducer,3.0,3.6.0,
70439167,18563,T0,question_reducer,3.0,3.6.0,
70439168,18563,T0,question_reducer,3.0,3.6.0,
70439169,18563,T0,question_reducer,4.0,3.6.0,
70439170,18563,T0,question_reducer,3.0,3.6.0,1.0
70439171,18563,T0,question_reducer,2.0,3.6.0,1.0
70439172,18563,T0,question_reducer,3.0,3.6.0,
70439173,18563,T0,question_reducer,2.0,3.6.0,1.0
70439174,18563,T0,question_reducer,3.0,3.6.0,
70439175,18563,T0,question_reducer,2.0,3.6.0,1.0
70439176,18563,T0,question_reducer,2.0,3.6.0,1.0
70439177,18563,T0,question_reducer,3.0,3.6.0,
70439178,18563,T0,question_reducer,3.0,3.6.0,
70439179,18563,T0,question_reducer,2.0,3.6.0,1.0
70439180,18563,T0,question_reducer,1.0,3.6.0,2.0
70439181,18563,T0,question_reducer,1.0,3.6.0,3.0
70439182,18563,T0,question_reducer,2.0,3.6.0,1.0
70439183,18563,T0,question_reducer,1.0,3.6.0,3.0
70439184,18563,T0,question_reducer,2.0,3.6.0,1.0
70439185,18563,T0,question_reducer,4.0,3.6.0,
70439186,18563,T0,question_reducer,3.0,3.6.0,
70439187,18563,T0,question_reducer,2.0,3.6.0,1.0
70439188,18563,T0,question_reducer,1.0,3.6.0,2.0
70439189,18563,T0,question_reducer,3.0,3.6.0,
70439190,18563,T0,question_reducer,3.0,3.6.0,
70439191,18563,T0,question_reducer,3.0,3.6.0,
70439192,18563,T0,question_reducer,2.0,3.6.0,1.0
70439193,18563,T0,question_reducer,3.0,3.6.0,
70439194,18563,T0,question_reducer,3.0,3.6.0,
70439195,18563,T0,question_reducer,3.0,3.6.0,
70439196,18563,T0,question_reducer,2.0,3.6.0,1.0
70439197,18563,T0,question_reducer,3.0,3.6.0,
70439198,18563,T0,question_reducer,2.0,3.6.0,1.0
70439199,18563,T0,question_reducer,4.0,3.6.0,
70439200,18563,T0,question_reducer,3.0,3.6.0,
70439201,18563,T0,question_reducer,3.0,3.6.0,
70439202,18563,T0,question_reducer,3.0,3.6.0,
70439203,18563,T0,question_reducer,3.0,3.6.0,
70439204,18563,T0,question_reducer,3.0,3.6.0,
70439205,18563,T0,question_reducer,3.0,3.6.0,
70439206,18563,T0,question_reducer,3.0,3.6.0,1.0
70439207,18563,T0,question_reducer,4.0,3.6.0,
70439208,18563,T0,question_reducer,1.0,3.6.0,2.0
70439209,18563,T0,question_reducer,3.0,3.6.0,
70439210,18563,T0,question_reducer,3.0,3.6.0,
70439211,18563,T0,question_reducer,2.0,3.6.0,1.0
70439212,18563,T0,question_reducer,3.0,3.6.0,
70439213,18563,T0,question_reducer,3.0,3.6.0,
70439214,18563,T0,question_reducer,2.0,3.6.0,1.0
70439215,18563,T0,question_reducer,3.0,3.6.0,
70439216,18563,T0,question_reducer,2.0,3.6.0,1.0
70439217,18563,T0,question_reducer,3.0,3.6.0,
70439218,18563,T0,question_reducer,3.0,3.6.0,
70439219,18563,T0,question_reducer,4.0,3.6.0,
70439220,18563,T0,question_reducer,3.0,3.6.0,1.0
70439221,18563,T0,question_reducer,3.0,3.6.0,
70439222,18563,T0,question_reducer,3.0,3.6.0,
70439223,18563,T0,question_reducer,3.0,3.6.0,
70439224,18563,T0,question_reducer,3.0,3.6.0,
70439225,18563,T0,question_reducer,3.0,3.6.0,
70439226,18563,T0,question_reducer,3.0,3.6.0,
70439227,18563,T0,question_reducer,3.0,3.6.0,
70439228,18563,T0,question_reducer,3.0,3.6.0,
70439229,18563,T0,question_reducer,1.0,3.6.0,2.0
70439230,18563,T0,question_reducer,4.0,3.6.0,
70439231,18563,T0,question_reducer,2.0,3.6.0,1.0
70439232,18563,T0,question_reducer,4.0,3.6.0,
70439233,18563,T0,question_reducer,3.0,3.6.0,
70439234,18563,T0,question_reducer,2.0,3.6.0,1.0
70439235,18563,T0,question_reducer,2.0,3.6.0,1.0
70439236,18563,T0,question_reducer,3.0,3.6.0,
70439237,18563,T0,question_reducer,4.0,3.6.0,
70439238,18563,T0,question_reducer,3.0,3.6.0,
70439239,18563,T0,question_reducer,3.0,3.6.0,
70439240,18563,T0,question_reducer,2.0,3.6.0,1.0
70439241,18563,T0,question_reducer,3.0,3.6.0,
70439242,18563,T0,question_reducer,2.0,3.6.0,1.0
70439243,18563,T0,question_reducer,3.0,3.6.0,1.0
70439244,18563,T0,question_reducer,2.0,3.6.0,1.0
70439245,18563,T0,question_reducer,,3.6.0,3.0
70439246,18563,T0,question_reducer,,3.6.0,3.0
70439247,18563,T0,question_reducer,3.0,3.6.0,
70439248,18563,T0,question_reducer,2.0,3.6.0,1.0
70439249,18563,T0,question_reducer,1.0,3.6.0,2.0
70439250,18563,T0,question_reducer,3.0,3.6.0,
70439251,18563,T0,question_reducer,2.0,3.6.0,1.0
70439252,18563,T0,question_reducer,3.0,3.6.0,
70439253,18563,T0,question_reducer,2.0,3.6.0,1.0
70439254,18563,T0,question_reducer,5.0,3.6.0,
70439255,18563,T0,question_reducer,2.0,3.6.0,1.0
70439256,18563,T0,question_reducer,2.0,3.6.0,1.0
70439257,18563,T0,question_reducer,3.0,3.6.0,
70439258,18563,T0,question_reducer,3.0,3.6.0,
70439259,18563,T0,question_reducer,2.0,3.6.0,1.0
70439260,18563,T0,question_reducer,3.0,3.6.0,
70439261,18563,T0,question_reducer,2.0,3.6.0,1.0
70439262,18563,T0,question_reducer,3.0,3.6.0,
70439263,18563,T0,question_reducer,3.0,3.6.0,
70439264,18563,T0,question_reducer,2.0,3.6.0,1.0
70439265,18563,T0,question_reducer,3.0,3.6.0,
70439266,18563,T0,question_reducer,3.0,3.6.0,
70439267,18563,T0,question_reducer,3.0,3.6.0,1.0
70439268,18563,T0,question_reducer,2.0,3.6.0,1.0
70439269,18563,T0,question_reducer,3.0,3.6.0,
70439270,18563,T0,question_reducer,3.0,3.6.0,
70439271,18563,T0,question_reducer,3.0,3.6.0,
70439272,18563,T0,question_reducer,3.0,3.6.0,
70439273,18563,T0,question_reducer,3.0,3.6.0,1.0
70439274,18563,T0,question_reducer,4.0,3.6.0,1.0
70439275,18563,T0,question_reducer,3.0,3.6.0,
70439276,18563,T0,question_reducer,3.0,3.6.0,
70439277,18563,T0,question_reducer,2.0,3.6.0,1.0
70439278,18563,T0,question_reducer,,3.6.0,3.0
70439279,18563,T0,question_reducer,2.0,3.6.0,1.0
70439280,18563,T0,question_reducer,3.0,3.6.0,
70439281,18563,T0,question_reducer,3.0,3.6.0,
70439282,18563,T0,question_reducer,3.0,3.6.0,
70439283,18563,T0,question_reducer,3.0,3.6.0,
70439284,18563,T0,question_reducer,2.0,3.6.0,1.0
70439285,18563,T0,question_reducer,3.0,3.6.0,
70439286,18563,T0,question_reducer,3.0,3.6.0,
70439287,18563,T0,question_reducer,4.0,3.6.0,
70439288,18563,T0,question_reducer,3.0,3.6.0,
70439289,18563,T0,question_reducer,3.0,3.6.0,
70439290,18563,T0,question_reducer,1.0,3.6.0,2.0
70439291,18563,T0,question_reducer,1.0,3.6.0,2.0
70439292,18563,T0,question_reducer,3.0,3.6.0,
70439293,18563,T0,question_reducer,2.0,3.6.0,2.0
70439294,18563,T0,question_reducer,3.0,3.6.0,
70439295,18563,T0,question_reducer,3.0,3.6.0,
70439296,18563,T0,question_reducer,3.0,3.6.0,
70439297,18563,T0,question_reducer,3.0,3.6.0,
70439298,18563,T0,question_reducer,3.0,3.6.0,
70439299,18563,T0,question_reducer,2.0,3.6.0,1.0
70439300,18563,T0,question_reducer,3.0,3.6.0,
70439301,18563,T0,question_reducer,3.0,3.6.0,
70439302,18563,T0,question_reducer,3.0,3.6.0,1.0
70439303,18563,T0,question_reducer,2.0,3.6.0,1.0
70439304,18563,T0,question_reducer,3.0,3.6.0,
70439305,18563,T0,question_reducer,2.0,3.6.0,1.0
70439306,18563,T0,question_reducer,1.0,3.6.0,2.0
70439307,18563,T0,question_reducer,2.0,3.6.0,1.0
70439308,18563,T0,question_reducer,3.0,3.6.0,
70439309,18563,T0,question_reducer,,3.6.0,3.0
70439310,18563,T0,question_reducer,2.0,3.6.0,1.0
70439311,18563,T0,question_reducer,1.0,3.6.0,2.0
70439312,18563,T0,question_reducer,3.0,3.6.0,
70439313,18563,T0,question_reducer,1.0,3.6.0,2.0
70439314,18563,T0,question_reducer,3.0,3.6.0,
70439315,18563,T0,question_reducer,3.0,3.6.0,
70439316,18563,T0,question_reducer,3.0,3.6.0,
70439317,18563,T0,question_reducer,2.0,3.6.0,1.0
70439318,18563,T0,question_reducer,3.0,3.6.0,1.0
70439319,18563,T0,question_reducer,3.0,3.6.0,1.0
70439320,18563,T0,question_reducer,1.0,3.6.0,2.0
70439321,18563,T0,question_reducer,3.0,3.6.0,
70439322,18563,T0,question_reducer,3.0,3.6.0,
70439323,18563,T0,question_reducer,3.0,3.6.0,
70439324,18563,T0,question_reducer,3.0,3.6.0,
70439325,18563,T0,question_reducer,3.0,3.6.0,
70439326,18563,T0,question_reducer,3.0,3.6.0,
70439327,18563,T0,question_reducer,3.0,3.6.0,
70439328,18563,T0,question_reducer,3.0,3.6.0,
70439329,18563,T0,question_reducer,2.0,3.6.0,1.0
70439330,18563,T0,question_reducer,3.0,3.6.0,
70439331,18563,T0,question_reducer,3.0,3.6.0,
70439332,18563,T0,question_reducer,2.0,3.6.0,1.0
70439333,18563,T0,question_reducer,1.0,3.6.0,2.0
70439334,18563,T0,question_reducer,2.0,3.6.0,1.0
70439335,18563,T0,question_reducer,3.0,3.6.0,
70439336,18563,T0,question_reducer,2.0,3.6.0,1.0
70439337,18563,T0,question_reducer,2.0,3.6.0,1.0
70439338,18563,T0,question_reducer,3.0,3.6.0,
70439339,18563,T0,question_reducer,2.0,3.6.0,1.0
70439340,18563,T0,question_reducer,3.0,3.6.0,
70439341,18563,T0,question_reducer,3.0,3.6.0,
70439342,18563,T0,question_reducer,2.0,3.6.0,2.0
70439343,18563,T0,question_reducer,,3.6.0,3.0
70439344,18563,T0,question_reducer,3.0,3.6.0,1.0
70439345,18563,T0,question_reducer,2.0,3.6.0,1.0
70439346,18563,T0,question_reducer,2.0,3.6.0,1.0
70439347,18563,T0,question_reducer,4.0,3.6.0,
70439348,18563,T0,question_reducer,2.0,3.6.0,1.0
70439349,18563,T0,question_reducer,3.0,3.6.0,
70439350,18563,T0,question_reducer,2.0,3.6.0,1.0
70439351,18563,T0,question_reducer,2.0,3.6.0,1.0
70439352,18563,T0,question_reducer,2.0,3.6.0,1.0
70439353,18563,T0,question_reducer,4.0,3.6.0,1.0
70439354,18563,T0,question_reducer,2.0,3.6.0,1.0
70439355,18563,T0,question_reducer,3.0,3.6.0,
70439356,18563,T0,question_reducer,3.0,3.6.0,
70439357,18563,T0,question_reducer,3.0,3.6.0,
70439358,18563,T0,question_reducer,3.0,3.6.0,
70439359,18563,T0,question_reducer,3.0,3.6.0,
70439360,18563,T0,question_reducer,3.0,3.6.0,1.0
70439361,18563,T0,question_reducer,4.0,3.6.0,
70439362,18563,T0,question_reducer,2.0,3.6.0,1.0
70439363,18563,T0,question_reducer,3.0,3.6.0,
70439364,18563,T0,question_reducer,3.0,3.6.0,
70439365,18563,T0,question_reducer,3.0,3.6.0,
70439366,18563,T0,question_reducer,2.0,3.6.0,1.0
70439367,18563,T0,question_reducer,3.0,3.6.0,
70439368,18563,T0,question_reducer,3.0,3.6.0,
70439369,18563,T0,question_reducer,3.0,3.6.0,
70439370,18563,T0,question_reducer,3.0,3.6.0,
70439371,18563,T0,question_reducer,2.0,3.6.0,1.0
70439372,18563,T0,question_reducer,1.0,3.6.0,2.0
70439373,18563,T0,question_reducer,2.0,3.6.0,1.0
70439374,18563,T0,question_reducer,2.0,3.6.0,1.0
70439375,18563,T0,question_reducer,2.0,3.6.0,1.0
70439376,18563,T0,question_reducer,2.0,3.6.0,1.0
70439377,18563,T0,question_reducer,2.0,3.6.0,1.0
70439378,18563,T0,question_reducer,2.0,3.6.0,1.0
70439379,18563,T0,question_reducer,3.0,3.6.0,1.0
70439380,18563,T0,question_reducer,2.0,3.6.0,1.0
70439381,18563,T0,question_reducer,3.0,3.6.0,
70439382,18563,T0,question_reducer,3.0,3.6.0,
70439383,18563,T0,question_reducer,2.0,3.6.0,1.0
70439384,18563,T0,question_reducer,2.0,3.6.0,3.0
70439385,18563,T0,question_reducer,4.0,3.6.0,
70439386,18563,T0,question_reducer,3.0,3.6.0,
70439387,18563,T0,question_reducer,3.0,3.6.0,
70439388,18563,T0,question_reducer,2.0,3.6.0,1.0
70439389,18563,T0,question_reducer,3.0,3.6.0,
70439390,18563,T0,question_reducer,2.0,3.6.0,1.0
70439391,18563,T0,question_reducer,2.0,3.6.0,1.0
70439392,18563,T0,question_reducer,2.0,3.6.0,1.0
70439393,18563,T0,question_reducer,2.0,3.6.0,1.0
70439394,18563,T0,question_reducer,2.0,3.6.0,1.0
70439395,18563,T0,question_reducer,3.0,3.6.0,
70439396,18563,T0,question_reducer,1.0,3.6.0,2.0
70439397,18563,T0,question_reducer,3.0,3.6.0,
70439398,18563,T0,question_reducer,1.0,3.6.0,2.0
70439399,18563,T0,question_reducer,1.0,3.6.0,2.0
70439400,18563,T0,question_reducer,2.0,3.6.0,1.0
70439401,18563,T0,question_reducer,1.0,3.6.0,2.0
70439402,18563,T0,question_reducer,3.0,3.6.0,
70439403,18563,T0,question_reducer,2.0,3.6.0,1.0
70439404,18563,T0,question_reducer,2.0,3.6.0,1.0
70439405,18563,T0,question_reducer,,3.6.0,3.0
70439406,18563,T0,question_reducer,3.0,3.6.0,
70439407,18563,T0,question_reducer,3.0,3.6.0,
70439408,18563,T0,question_reducer,3.0,3.6.0,
70439409,18563,T0,question_reducer,2.0,3.6.0,1.0
70439410,18563,T0,question_reducer,,3.6.0,3.0
70439411,18563,T0,question_reducer,2.0,3.6.0,1.0
70439412,18563,T0,question_reducer,2.0,3.6.0,1.0
70439413,18563,T0,question_reducer,3.0,3.6.0,
70439414,18563,T0,question_reducer,4.0,3.6.0,
70439415,18563,T0,question_reducer,3.0,3.6.0,
70439416,18563,T0,question_reducer,3.0,3.6.0,1.0
70439417,18563,T0,question_reducer,2.0,3.6.0,
70439418,18563,T0,question_reducer,2.0,3.6.0,2.0
70439419,18563,T0,question_reducer,1.0,3.6.0,2.0
70439420,18563,T0,question_reducer,3.0,3.6.0,
70439421,18563,T0,question_reducer,1.0,3.6.0,2.0
70439422,18563,T0,question_reducer,3.0,3.6.0,
70439423,18563,T0,question_reducer,2.0,3.6.0,1.0
70439424,18563,T0,question_reducer,1.0,3.6.0,2.0
70439425,18563,T0,question_reducer,3.0,3.6.0,
70439426,18563,T0,question_reducer,3.0,3.6.0,
70439427,18563,T0,question_reducer,1.0,3.6.0,3.0
70439428,18563,T0,question_reducer,2.0,3.6.0,2.0
70439429,18563,T0,question_reducer,3.0,3.6.0,
70439430,18563,T0,question_reducer,3.0,3.6.0,
70439431,18563,T0,question_reducer,1.0,3.6.0,2.0
70439432,18563,T0,question_reducer,3.0,3.6.0,
70439433,18563,T0,question_reducer,3.0,3.6.0,
70439434,18563,T0,question_reducer,2.0,3.6.0,2.0
70439435,18563,T0,question_reducer,2.0,3.6.0,1.0
70439436,18563,T0,question_reducer,3.0,3.6.0,
70439437,18563,T0,question_reducer,3.0,3.6.0,
70439438,18563,T0,question_reducer,3.0,3.6.0,
70439439,18563,T0,question_reducer,3.0,3.6.0,
70439440,18563,T0,question_reducer,3.0,3.6.0,
70439441,18563,T0,question_reducer,2.0,3.6.0,1.0
70439442,18563,T0,question_reducer,3.0,3.6.0,
70439443,18563,T0,question_reducer,3.0,3.6.0,
70439444,18563,T0,question_reducer,3.0,3.6.0,1.0
70439445,18563,T0,question_reducer,3.0,3.6.0,
70439446,18563,T0,question_reducer,3.0,3.6.0,
70439447,18563,T0,question_reducer,2.0,3.6.0,1.0
70439448,18563,T0,question_reducer,3.0,3.6.0,
70439449,18563,T0,question_reducer,3.0,3.6.0,
70439450,18563,T0,question_reducer,2.0,3.6.0,1.0
70439451,18563,T0,question_reducer,1.0,3.6.0,2.0
70439452,18563,T0,question_reducer,2.0,3.6.0,1.0
70439453,18563,T0,question_reducer,1.0,3.6.0,2.0
70439454,18563,T0,question_reducer,2.0,3.6.0,2.0
70439455,18563,T0,question_reducer,2.0,3.6.0,1.0
70439456,18563,T0,question_reducer,2.0,3.6.0,1.0
70439457,18563,T0,question_reducer,1.0,3.6.0,2.0
70439458,18563,T0,question_reducer,3.0,3.6.0,
70439459,18563,T0,question_reducer,2.0,3.6.0,1.0
70439460,18563,T0,question_reducer,3.0,3.6.0,
70439461,18563,T0,question_reducer,3.0,3.6.0,
70439462,18563,T0,question_reducer,2.0,3.6.0,1.0
70439463,18563,T0,question_reducer,3.0,3.6.0,
70439464,18563,T0,question_reducer,2.0,3.6.0,1.0
70439465,18563,T0,question_reducer,3.0,3.6.0,
70439466,18563,T0,question_reducer,3.0,3.6.0,
70439467,18563,T0,question_reducer,1.0,3.6.0,2.0
70439468,18563,T0,question_reducer,2.0,3.6.0,1.0
70439469,18563,T0,question_reducer,2.0,3.6.0,1.0
70439470,18563,T0,question_reducer,2.0,3.6.0,1.0
70439471,18563,T0,question_reducer,2.0,3.6.0,1.0
70439472,18563,T0,question_reducer,2.0,3.6.0,1.0
70439473,18563,T0,question_reducer,3.0,3.6.0,
70439474,18563,T0,question_reducer,1.0,3.6.0,2.0
70439475,18563,T0,question_reducer,3.0,3.6.0,
70439476,18563,T0,question_reducer,1.0,3.6.0,2.0
70439477,18563,T0,question_reducer,3.0,3.6.0,
70439478,18563,T0,question_reducer,3.0,3.6.0,
70439479,18563,T0,question_reducer,4.0,3.6.0,
70439480,18563,T0,question_reducer,2.0,3.6.0,1.0
70439481,18563,T0,question_reducer,2.0,3.6.0,1.0
70439482,18563,T0,question_reducer,3.0,3.6.0,
70439483,18563,T0,question_reducer,3.0,3.6.0,
70439484,18563,T0,question_reducer,4.0,3.6.0,
70439485,18563,T0,question_reducer,3.0,3.6.0,
70439486,18563,T0,question_reducer,2.0,3.6.0,1.0
70439487,18563,T0,question_reducer,3.0,3.6.0,
70439488,18563,T0,question_reducer,3.0,3.6.0,
70439489,18563,T0,question_reducer,2.0,3.6.0,1.0
70439490,18563,T0,question_reducer,1.0,3.6.0,2.0
70439491,18563,T0,question_reducer,2.0,3.6.0,1.0
70439492,18563,T0,question_reducer,3.0,3.6.0,
